"","Set Number","Name","Number of Parts"
"1","<a href=""https://brickset.com/sets/398-1"">398-1</a>","U.S.S. Constellation",973
"2","<a href=""https://brickset.com/sets/375-2"">375-2</a>","Castle",776
"3","<a href=""https://brickset.com/sets/956-1"">956-1</a>","Auto Chassis",603
"4","<a href=""https://brickset.com/sets/855-1"">855-1</a>","Mobile crane",512
"5","<a href=""https://brickset.com/sets/232-1"">232-1</a>","Bungalow",472
"6","<a href=""https://brickset.com/sets/1589-1"">1589-1</a>","Town Square",441
"7","<a href=""https://brickset.com/sets/231-1"">231-1</a>","Hospital",400
"8","<a href=""https://brickset.com/sets/954-1"">954-1</a>","Sky Copter",364
"9","<a href=""https://brickset.com/sets/590-1"">590-1</a>","Engine Co. No. 9",337
"10","<a href=""https://brickset.com/sets/374-1"">374-1</a>","Fire Station",334
"11","<a href=""https://brickset.com/sets/952-1"">952-1</a>","Tractor",322
"12","<a href=""https://brickset.com/sets/575-1"">575-1</a>","Coast Guard Station",301
"13","<a href=""https://brickset.com/sets/575-2"">575-2</a>","Coast Guard Station (Canadian Edition)",284
"14","<a href=""https://brickset.com/sets/340-2"">340-2</a>","Fire Trucks",277
"15","<a href=""https://brickset.com/sets/165-1"">165-1</a>","Cargo Station",267
"16","<a href=""https://brickset.com/sets/376-2"">376-2</a>","Town House with Garden",244
"17","<a href=""https://brickset.com/sets/1620-2"">1620-2</a>","Factory",233
"18","<a href=""https://brickset.com/sets/230-1"">230-1</a>","Hairdressing Salon",227
"19","<a href=""https://brickset.com/sets/330-2"">330-2</a>","Gas Station",211
"20","<a href=""https://brickset.com/sets/854-1"">854-1</a>","Go-Kart",211
"21","<a href=""https://brickset.com/sets/948-1"">948-1</a>","Go-Kart",211
"22","<a href=""https://brickset.com/sets/377-1"">377-1</a>","Shell Service Station",190
"23","<a href=""https://brickset.com/sets/297-1"">297-1</a>","Nursery",168
"24","<a href=""https://brickset.com/sets/164-1"">164-1</a>","Passenger Wagon",145
"25","<a href=""https://brickset.com/sets/316-1"">316-1</a>","Fire Fighter Ship",141
"26","<a href=""https://brickset.com/sets/775-1"">775-1</a>","Fire Fighter Ship",141
"27","<a href=""https://brickset.com/sets/205-2"">205-2</a>","Universal Figure Set",118
"28","<a href=""https://brickset.com/sets/9-1"">9-1</a>","Universal Building Set",116
"29","<a href=""https://brickset.com/sets/278-1"">278-1</a>","Television Room",107
"30","<a href=""https://brickset.com/sets/167-1"">167-1</a>","Loading Ramp and Car Transport Wagon",100
"31","<a href=""https://brickset.com/sets/1610-2"">1610-2</a>","Martinair Cessna",82
"32","<a href=""https://brickset.com/sets/961-1"">961-1</a>","Expert Builder/Gear Parts",78
"33","<a href=""https://brickset.com/sets/872-1"">872-1</a>","Supplementary Set",77
"34","<a href=""https://brickset.com/sets/671-1"">671-1</a>","Shell Fuel Tanker",73
"35","<a href=""https://brickset.com/sets/672-1"">672-1</a>","Fire Emergency Van",65
"36","<a href=""https://brickset.com/sets/1611-2"">1611-2</a>","Martinair DC-9",63
"37","<a href=""https://brickset.com/sets/673-1"">673-1</a>","Rally Repair Crew",60
"38","<a href=""https://brickset.com/sets/670-1"">670-1</a>","Mobile Crane",55
"39","<a href=""https://brickset.com/sets/674-1"">674-1</a>","Forklift & Truck",55
"40","<a href=""https://brickset.com/sets/166-1"">166-1</a>","Flat Wagon",51
"41","<a href=""https://brickset.com/sets/709-1"">709-1</a>","Police Boat",48
"42","<a href=""https://brickset.com/sets/640-2"">640-2</a>","Fire Truck and Trailer",47
"43","<a href=""https://brickset.com/sets/208-1"">208-1</a>","Mother with Baby Carriage",46
"44","<a href=""https://brickset.com/sets/1555-2"">1555-2</a>","Sterling Airways Biplane",44
"45","<a href=""https://brickset.com/sets/644-2"">644-2</a>","Police Mobile Patrol",44
"46","<a href=""https://brickset.com/sets/642-1"">642-1</a>","Tow Truck and Car",43
"47","<a href=""https://brickset.com/sets/245-2"">245-2</a>","Two Santas and Tree",39
"48","<a href=""https://brickset.com/sets/643-1"">643-1</a>","Flatbed Truck",39
"49","<a href=""https://brickset.com/sets/641-1"">641-1</a>","Excavator",38
"50","<a href=""https://brickset.com/sets/626-2"">626-2</a>","Red Cross Helicopter",36
"51","<a href=""https://brickset.com/sets/621-1"">621-1</a>","Police Car",34
"52","<a href=""https://brickset.com/sets/623-1"">623-1</a>","Medic's Car",33
"53","<a href=""https://brickset.com/sets/620-1"">620-1</a>","Fireman's Car",32
"54","<a href=""https://brickset.com/sets/622-1"">622-1</a>","Tipper Truck",32
"55","<a href=""https://brickset.com/sets/625-1"">625-1</a>","Tractor",31
"56","<a href=""https://brickset.com/sets/603-1"">603-1</a>","Sidecar",26
"57","<a href=""https://brickset.com/sets/606-1"">606-1</a>","Ambulance",25
"58","<a href=""https://brickset.com/sets/602-1"">602-1</a>","Fire Chief's Car",24
"59","<a href=""https://brickset.com/sets/600-2"">600-2</a>","Police Patrol",23
"60","<a href=""https://brickset.com/sets/960-1"">960-1</a>","Power Pack",22
"61","<a href=""https://brickset.com/sets/604-1"">604-1</a>","Shell Service Car",21
"62","<a href=""https://brickset.com/sets/605-1"">605-1</a>","Street Sweeper",18
"63","<a href=""https://brickset.com/sets/970-1"">970-1</a>","Lighting Bricks",17
"64","<a href=""https://brickset.com/sets/0016-1"">0016-1</a>","Castle Mini Figures",15
"65","<a href=""https://brickset.com/sets/0011-2"">0011-2</a>","Town Mini-Figures",12
"66","<a href=""https://brickset.com/sets/601-1"">601-1</a>","Shell Gas Pump",12
"67","<a href=""https://brickset.com/sets/1176-1"">1176-1</a>","Gear Racks and Turntables",6
"68","<a href=""https://brickset.com/sets/300-1"">300-1</a>","T-Junction Road Plates",2
"69","<a href=""https://brickset.com/sets/301-1"">301-1</a>","Curved Road Plates",2
"70","<a href=""https://brickset.com/sets/302-2"">302-2</a>","Straight Road Plates (with crosswalk)",2
"71","<a href=""https://brickset.com/sets/746-1"">746-1</a>","Baseplates, Green and Yellow",2
"72","<a href=""https://brickset.com/sets/747-1"">747-1</a>","Baseplates, Red and Blue",2
"73","<a href=""https://brickset.com/sets/745-1"">745-1</a>","Baseplate, Green",1
